id,name,heights,floors,latitude,longitude,status,end_year,start_year,notes,material,uses
1,One World Trade Center,541.3,94,40.71311188,-74.01335144,completed,2014,2006,"Also known as the Freedom Tower. Tallest building in the Western Hemisphere by architectural height. Tallest building in New York City and the United States. 7th-tallest building in the world. Roof height is 1,368 feet (417?m), the same as the original World Trade Center. Footprint of the building is 200 by 200 feet (61 by 61?m), the same as each of the Twin Towers.",composite,office
2,Central Park Tower,472,95,40.76636124,-73.9809494,completed,2021,2014,"Also known as Nordstrom Tower. At 1,550 feet, it has the highest roof height of any building outside Asia, surpassing the Willis Tower by 100 feet (30?m). The building is also the tallest residential building in the world both by roof height and architectural height. Top floor marketed as 130 but has 99 actual floors. Construction was delayed in 2015 and resumed in 2017. Topped out in September 2019.",concrete,residential
3,111 West 57th Street,438.3,80,40.76480103,-73.97754669,completed,2022,2015,Also known as Steinway Tower. It is the world's most slender skyscraper.,concrete,residential
4,One Vanderbilt,427,73,40.753,-73.9785,completed,2020,2015,"Second tallest office building in NYC. Tallest all-office building in Midtown Manhattan. Due to floor ceilings between 14 and 20 feet in height, it has fewer stories than most buildings of similar height; its top floor is numbered 93. Has the highest panoramic elevator in the world. The building topped out in September 2019 and formally opened on September 14, 2020.",concrete,office
5,432 Park Avenue,425.5,85,40.76155853,-73.97186279,completed,2015,2011,"Fifth tallest building overall in NYC, third tallest by roof height, third tallest residential building in the world; 26th-tallest building in the world; 6th-tallest building in the United States.",concrete,residential
6,One World Trade Center,417,110,40.71208954,-74.01322174,demolished,1972,1966,,steel,office
7,Two World Trade Center,415.1,110,40.71099091,-74.01313019,demolished,1973,1966,,steel,office
8,30 Hudson Yards,386.6,73,40.75402069,-74.0008316,completed,2019,2014,"Opened March 15, 2019, tallest building in Hudson Yards. It has the highest outdoor observation deck in the Western Hemisphere and highest open-air building ascent in the world. Top floor marketed as 101.",steel/concrete,office
9,Empire State Building,381,102,40.74842072,-73.98560333,completed,1931,1930,"First building in the world to contain over 100 floors. Built in just 13 months during the Great Depression, it was the world's tallest building from its completion in 1931 until the World Trade Center was completed in 1972, and was New York City's tallest building after the World Trade Center was destroyed in the attacks of September 11, 2001, until 2012, when it was surpassed by One World Trade Center. With its antenna, it is 1,454 feet (443?m) tall.",steel,office
10,Bank of America Tower,365.8,55,40.75537872,-73.98435211,completed,2009,2004,First skyscraper to receive a Platinum LEED certification. Roof height is 953.5 feet (291?m).,composite,office
11,3 World Trade Center,328.9,80,40.71086884,-74.01157379,completed,2018,2010,"Topped out in June 2016. Officially opened June 11, 2018.",composite,office
12,The Brooklyn Tower,327,93,40.690278,-73.982222,completed,2022,2016,"Topped out in October 2021 to become the tallest building in Brooklyn, the tallest building in the outer boroughs, and the tallest building in New York State outside Manhattan Island.",composite,residential
13,53 West 53rd,320,77,40.7618103,-73.97817993,completed,2018,2015,"Formerly known as Tower Verre, topped out in August 2018.",concrete,residential
14,Chrysler Building,318.9,77,40.7516098,-73.97534943,completed,1930,1928,"Tied for 19th-tallest in the United States; first building in the world to rise higher than 1,000 feet (305?m); stood as the tallest building in the world from 1930 until 1931 when it was surpassed by the Empire State Building; tallest steel-framed brick building in the world. At its completion overtook the Eiffel Tower as the world's tallest man-made structure.",steel,office
15,New York Times Tower,318.8,52,40.75608826,-73.99004364,completed,2007,2004,Tied for 19th-tallest in the United States. Also known as the Times Tower. The first high-rise building in the United States to have a ceramic sunscreen curtain wall.,steel,office
16,The Spiral,315.2,66,40.75595093,-74.00128174,completed,2022,2016,"34th Street and 10th Avenue, at the north end of the High Line. Almost every floor will have its own outdoor terrace.",composite,office
17,50 Hudson Yards,308,58,40.754578,-74.000119,completed,2022,2015,"Last tower under construction as part of Hudson Yards' Phase 1, anchored by BlackRock.",concrete,office
18,35 Hudson Yards,308,72,40.75455,-74.0024,completed,2022,2015,"Tallest mixed-use (residential and hotel) skyscraper in the city, topped out in June 2018.",concrete,residential
19,One57,306.1,75,40.76544189,-73.97907257,completed,2014,2009,First of the Billionaires' Row supertalls to be completed.,steel/concrete,residential
20,One Manhattan West,304,67,40.7519,-73.9979,completed,2019,2012,"Tallest building in the Manhattan West development. Topped out in August 2018 and opened on October 30, 2019.",composite,office
21,4 World Trade Center,297.7,65,40.71031952,-74.01217651,completed,2014,2008,"Also known as 150 Greenwich Street, part of the rebuilding of the World Trade Center.",composite,office
22,70 Pine Street,290.2,67,40.70634079,-74.00766754,completed,1932,1930,"34th-tallest building in the United States; formerly known as the American International Building and the Cities Service Building. 70 Pine was transformed into a residential skyscraper with 644 rental residences, 132 hotel rooms and 35,000 square feet of retail space, opening in 2015. It was the 3rd tallest building in the world at completion. It stood as the tallest building in Lower Manhattan from the time of its completion until the construction of the original World Trade Center towers in the 1970s, then regained that status after 9/11, holding it until the construction of the new One World Trade Center building.",steel,residential
23,220 Central Park South,290,67,40.7671,-73.9802,completed,2019,2015,Topped out in 2017.,,residential
24,Two Manhattan West,285,58,40.75209,-73.997949,under construction,2023,2019,"Construction began after law firm Cravath, Swaine & Moore signed a lease for 13 floors in October 2019. Topped out in November 2021.",,office
25,40 Wall Street,282.5,71,40.70692062,-74.00980377,completed,1930,1929,"39th-tallest in the United States; was world's tallest building for less than two months in 1930. Formerly known as the Bank of Manhattan Trust Building and currently known as the Trump Building, a more permanent name is 40 Wall Street. Was the tallest building in New York City before being surpassed by the Chrysler Building.[77][78] Was the tallest mid-block building in the city from 1930 until the completion of One57 in 2014.",steel,office
26,Four Seasons Hotel New York Downtown,282,67,40.71274948,-74.00907898,completed,2016,2008,Also known as 30 Park Place. Topped out in March 2015.,concrete,hotel
27,Citigroup Center,278.9,63,40.75857162,-73.97038269,completed,1977,1974,Formerly Citicorp Center and now known as 601 Lexington Avenue.,steel,office
28,15 Hudson Yards,278.6,70,40.75352859,-74.00289917,under construction,2018,2014,Topped out in February 2018.,concrete,residential
29,125 Greenwich Street,278,60,40.70946884,-74.0127182,on hold,2018,2015,Topped out in March 2019.,concrete,residential
30,10 Hudson Yards,267.7,52,40.75284958,-74.00132751,completed,2016,2013,First of the Hudson Yards towers to be completed.,composite,office
31,8 Spruce Street,265.2,76,40.71086121,-74.00566864,completed,2011,2006,Also known as Beekman Tower and New York by Gehry.,concrete,residential
32,Trump World Tower,262.4,72,40.75252151,-73.96766663,completed,2001,1999,Tallest residential building in the world from 2000 until 2003.,concrete,residential
33,425 Park Avenue,262,42,40.7604599,-73.97109985,completed,2018,2015,Topped out in December 2018.,composite,office
